id;vorname;nachname;aktiv;geschlecht;tel;email;alter;strasse;hausnr;stadt;plz;verein1;verein2;verein3;mitglnr;name;geburtstag;adresse1;adresse2;adresse3;adresse4;vereinsnr;position;name_kopie;nr;aktivesMitglied;geburstdatum;str;haus;mitgliedVereinA;mitgliedVereinB
1.0;Jean;Willis;N;Male;(876) 483-7689;uvehiw@lu.bd;65.0;Pagul Terrace;65;Izuajzod;90382;2.0;9.0;11.0;;;;;;;;;;;;;;;;;
2.0;Sylvia;Wheeler;Y;Male;(930) 772-9727;vivcuho@vov.gn;60.0;Wium Point;36;Lizcarda;43558;;9.0;18.0;;;;;;;;;;;;;;;;;
3.0;Corey;Wells;1;Female;(614) 848-3778;bolhanza@pin.pr;63.0;Zejlem River;49;Hegolsoc;;4.0;1.0;6.0;;;;;;;;;;;;;;;;;
4.0;Gertrude;Estrada;N;Male;(546) 721-7634;locez@puktiges.td;23.0;Maloz Mill;59;Cuegcew;10162;8.0;1.0;4.0;;;;;;;;;;;;;;;;;
5.0;Louis;Pratt;N;Male;(766) 904-9447;vag@toclelapi.mx;22.0;Hotot Path;57;Deodeimu;4608;7.0;4.0;13.0;;;;;;;;;;;;;;;;;
6.0;Elmer;Munoz;N;Male;(656) 381-6666;kotpalvuw@wiot.lu;26.0;Sakuk Turnpike;33;Nimvale;68292;9.0;13.0;12.0;;;;;;;;;;;;;;;;;
7.0;Blanche;Ray;Y;Male;(716) 396-7471;ku@ju.pf;38.0;Acuk Key;38;Libbeze;24777;10.0;19.0;14.0;;;;;;;;;;;;;;;;;
8.0;Luis;McKinney;N;Female;(311) 638-3393;su@kumoc.gf;37.0;Lojeg Park;45;Jujucenoz;75320;7.0;14.0;21.0;;;;;;;;;;;;;;;;;
9.0;Bradley;Dawson;N;Male;(471) 243-4717;vah@;41.0;Hehfo Glen;;Otufuhor;20271;7.0;3.0;17.0;;;;;;;;;;;;;;;;;
10.0;Julia;Norton;N;Male;(424) 729-8953;siuposap@sunsec.sb;65.0;Ivdi Park;48;Jefawne;99360;3.0;3.0;;;;;;;;;;;;;;;;;;
11.0;Gary;Ryan;Y;Female;(441) 280-7022;cib@jojetse.mp;65.0;Vopan Point;38;Zineha;94410;10.0;17.0;5.0;;;;;;;;;;;;;;;;;
12.0;Glenn;Ramos;Y;Female;(615) 922-8858;sibzosco@hikapre.tk;41.0;Sibu Square;21;Lalogeko;44354;5.0;19.0;29.0;;;;;;;;;;;;;;;;;
13.0;Lottie;Colon;N;Male;(333) 855-9817;nacoko@luflucge.cy;34.0;Ujjic Ridge;44;Akalorkov;83636;6.0;8.0;14.0;;;;;;;;;;;;;;;;;
14.0;Jerome;Young;Y;Male;(929) 312-1234;lonjop@zikabif.bi;33.0;Wivu Plaza;65;Momokini;64818;9.0;;26.0;;;;;;;;;;;;;;;;;
15.0;Lillie;Pratt;N;Male;(370) 774-5451;bub@wadwap.bf;55.0;Rebej Square;64;Novjephud;30791;1.0;;20.0;;;;;;;;;;;;;;;;;
17.0;Lora;Franklin;Y;Male;(680) 637-7970;ro@tozbabjuh.cw;47.0;Lepvun Grove;43;Uheovjor;92571;8.0;6.0;1.0;;;;;;;;;;;;;;;;;
18.0;Bernice;Ortiz;Y;Male;(517) 633-6780;vulbeti@wimzidup.st;48.0;Webdo Point;62;Sofudewo;92571;6.0;3.0;16.0;;;;;;;;;;;;;;;;;
19.0;Miguel;Floyd;N;Male;(386) 254-2107;ecnivef@ruwcuba.ec;45.0;Otso Way;62;Zasfavak;6296;7.0;13.0;9.0;;;;;;;;;;;;;;;;;
20.0;Lenora;Lloyd;Y;Female;(501) 716-1767;eci@cu.an;63.0;Siguk Street;29;Huhejju;59435;6.0;7.0;13.0;;;;;;;;;;;;;;;;;
21.0;Hunter;Wise;N;Male;(920) 785-8070;sor@tasgis.ba;21.0;Epiiki Plaza;29;Asevabi;80902;;6.0;26.0;;;;;;;;;;;;;;;;;
22.0;Miguel;Huff;N;Female;(417) 377-5342;dartiz@vopukav.tw;22.0;Ciptin Way;46;Bolebeof;38544;3.0;14.0;19.0;;;;;;;;;;;;;;;;;
23.0;Raymond;Fuller;Y;Female;(879) 931-6483;mosedegi@locansu.om;58.0;Fada Park;19;Sofbonfoh;67923;10.0;5.0;17.0;;;;;;;;;;;;;;;;;
24.0;Cole;Ramirez;N;Male;(729) 781-3965;bac@revuk.by;25.0;Zomif Park;42;Nevbukfuf;88272;2.0;20.0;8.0;;;;;;;;;;;;;;;;;
25.0;Jane;Simpson;N;Male;(708) 451-4743;gu@go.ar;50.0;Tojuho Circle;33;Omhippu;32965;4.0;11.0;17.0;;;;;;;;;;;;;;;;;
26.0;Louis;Burgess;N;Male;(856) 949-4490;otizcug@fopav.pg;49.0;Zilpav Avenue;63;Lecepuj;15459;6.0;12.0;19.0;;;;;;;;;;;;;;;;;
27.0;Brent;Banks;N;Male;(486) 251-6309;lefifu@kuide.bw;56.0;Calez Highway;23;Raruted;10378;1.0;5.0;26.0;;;;;;;;;;;;;;;;;
